
Data;Hora;Temperatura;Umidade
2022/9/5;9:32:36;2022/9/5;9:32:48;29.40;51.00

Data;Hora;Temperatura;Umidade
2022/9/5;10:19:32;29.40;49.00
2022/9/5;10:19:42;29.40;49.00
2022/9/5;10:19:53;29.40;49.00
2022/9/5;10:20:4;29.50;49.00
2022/9/5;10:20:14;29.40;49.00
2022/9/5;10:20:25;29.50;49.00
2022/9/5;10:20:36;29.50;49.00
2022/9/5;10:20:46;29.40;49.00
2022/9/5;10:20:57;29.40;49.00
2022/9/5;10:21:8;29.40;49.00
2022/9/5;10:21:18;29.40;49.00
2022/9/5;10:21:29;29.40;49.00
2022/9/5;10:21:40;29.40;49.00
2022/9/5;10:21:50;29.40;49.00
2022/9/5;10:22:1;29.40;49.00
2022/9/5;10:22:12;29.40;49.00
2022/9/5;10:22:22;29.40;49.00
2022/9/5;10:22:33;29.40;49.00
2022/9/5;10:22:44;29.40;49.00
2022/9/5;10:22:54;29.40;49.00
2022/9/5;10:23:5;29.40;49.00
2022/9/5;10:23:16;29.40;48.00
2022/9/5;10:23:26;29.40;48.00
2022/9/5;10:23:37;29.40;48.00
2022/9/5;10:23:48;29.40;48.00
2022/9/5;10:23:58;29.40;48.00
2022/9/5;10:24:9;29.40;48.00
2022/9/5;10:24:20;29.40;48.00
2022/9/5;10:24:30;29.40;48.00
2022/9/5;10:24:41;29.40;48.00
2022/9/5;10:24:52;29.40;48.00
2022/9/5;10:25:2;29.40;48.00
2022/9/5;10:25:13;29.40;48.00
2022/9/5;10:25:24;29.40;48.00
2022/9/5;10:25:34;29.40;48.00
2022/9/5;10:25:45;29.40;48.00
2022/9/5;10:25:56;29.40;48.00
2022/9/5;10:26:6;29.30;48.00
2022/9/5;10:26:17;29.40;48.00
2022/9/5;10:26:28;29.40;48.00
2022/9/5;10:26:38;29.30;48.00
2022/9/5;10:26:49;29.30;48.00
2022/9/5;10:27:0;29.30;48.00
2022/9/5;10:27:10;29.30;48.00
2022/9/5;10:27:21;29.40;48.00
2022/9/5;10:27:32;29.40;48.00
2022/9/5;10:27:42;29.40;48.00
2022/9/5;10:27:53;29.40;48.00
2022/9/5;10:28:4;29.40;48.00
2022/9/5;10:28:14;29.40;48.00
2022/9/5;10:28:25;29.40;48.00
2022/9/5;10:28:36;29.40;48.00
2022/9/5;10:28:46;29.40;48.00
2022/9/5;10:28:57;29.40;48.00
2022/9/5;10:29:8;29.40;48.00
2022/9/5;10:29:18;29.40;48.00
2022/9/5;10:29:29;29.40;48.00
2022/9/5;10:29:40;29.40;48.00
2022/9/5;10:29:50;29.40;48.00
2022/9/5;10:30:1;29.40;48.00
2022/9/5;10:30:12;29.40;48.00
2022/9/5;10:30:22;29.40;48.00
2022/9/5;10:30:33;29.40;48.00
2022/9/5;10:30:44;29.40;48.00
2022/9/5;10:30:54;29.50;48.00
2022/9/5;10:31:5;29.40;48.00
2022/9/5;10:31:16;29.40;48.00
2022/9/5;10:31:26;29.40;48.00
2022/9/5;10:31:37;29.40;48.00
2022/9/5;10:31:48;29.40;48.00
2022/9/5;10:31:58;29.50;48.00
2022/9/5;10:32:9;29.50;48.00
2022/9/5;10:32:20;29.40;48.00
2022/9/5;10:32:30;29.40;48.00
2022/9/5;10:32:41;29.40;48.00
2022/9/5;10:32:52;29.40;48.00
2022/9/5;10:33:2;29.40;48.00
2022/9/5;10:33:13;29.40;48.00
2022/9/5;10:33:24;29.40;48.00
2022/9/5;10:33:34;29.40;48.00
2022/9/5;10:33:45;29.40;48.00
2022/9/5;10:33:56;29.30;48.00
2022/9/5;10:34:6;29.40;48.00
2022/9/5;10:34:17;29.40;48.00
2022/9/5;10:34:28;29.40;48.00
2022/9/5;10:34:38;29.40;48.00
2022/9/5;10:34:49;29.40;48.00
2022/9/5;10:35:0;29.40;48.00
2022/9/5;10:35:10;29.40;48.00
2022/9/5;10:35:21;29.40;48.00
2022/9/5;10:35:32;29.40;48.00
2022/9/5;10:35:42;29.40;48.00
2022/9/5;10:35:53;29.40;48.00
