Date,Time,Temperatura ºC
2022/8/31,18:24:45;25.00;58.00
2022/8/31,18:24:56;25.00;58.00
2022/8/31,18:25:6;25.10;58.00
2022/8/31,18:25:17;25.10;57.00
Date,Time,Temperatura ºC
2022/8/31,18:24:45;25.10;57.00
2022/9/1;9:35:36;26.10;58.00
2022/9/1;9:35:47;26.10;58.00
2022/9/1;9:35:57;26.10;58.00
2022/9/1;9:36:8;26.00;58.00
2022/9/1;9:36:19;26.10;58.00
2022/9/1;9:36:29;26.00;58.00
2022/9/1;9:36:40;26.00;59.00
2022/9/1;9:36:51;26.10;59.00
2022/9/1;9:37:1;26.10;59.00
2022/9/1;9:37:12;26.10;59.00
2022/9/1;9:37:23;26.10;59.00
2022/9/1;9:37:33;26.10;59.00
2022/9/1;9:37:44;26.10;59.00
2022/9/1;9:37:55;26.10;59.00
2022/9/1;9:38:5;26.10;58.00
2022/9/1;9:38:16;26.00;58.00
2022/9/1;9:38:27;26.10;58.00
2022/9/1;9:38:37;26.10;58.00
2022/9/1;9:38:48;26.10;58.00
2022/9/1;9:38:59;26.20;58.00
2022/9/1;9:39:9;26.00;58.00
2022/9/1;9:39:20;26.00;59.00
2022/9/1;9:39:31;26.20;58.00
2022/9/1;9:39:41;26.20;58.00
2022/9/1;9:39:52;26.20;58.00
2022/9/1;9:40:3;26.20;58.00
2022/9/1;9:40:13;26.20;58.00
2022/9/1;9:40:24;26.20;58.00
2022/9/1;9:40:35;26.20;58.00
2022/9/1;9:40:45;26.20;58.00
2022/9/1;9:40:56;26.20;58.00
2022/9/1;9:41:7;26.20;58.00
2022/9/1;9:41:17;26.20;58.00
2022/9/1;9:41:28;26.20;58.00
2022/9/1;9:41:38;26.20;58.00
2022/9/1;9:41:49;26.20;58.00
2022/9/1;9:42:0;26.20;58.00
2022/9/1;9:42:10;26.20;58.00
2022/9/1;9:42:21;26.20;58.00
2022/9/1;9:42:32;26.20;58.00
2022/9/1;9:42:43;26.20;58.00
2022/9/1;9:42:53;26.20;58.00
2022/9/1;9:43:4;26.30;58.00
2022/9/1;9:43:14;26.30;58.00
2022/9/1;9:43:25;26.30;58.00
2022/9/1;9:43:36;26.30;58.00
2022/9/1;9:43:46;26.30;58.00
2022/9/1;9:43:57;26.20;58.00
2022/9/1;9:44:8;26.30;58.00
2022/9/1;9:44:18;26.30;58.00
2022/9/1;9:44:29;26.30;58.00
2022/9/1;9:44:40;26.20;58.00
2022/9/1;9:44:50;26.20;58.00
2022/9/1;9:45:1;26.20;58.00
2022/9/1;9:45:12;26.20;58.00
2022/9/1;9:45:22;26.30;58.00
2022/9/1;9:45:33;26.30;58.00
2022/9/1;9:45:44;26.30;58.00
2022/9/1;9:45:54;26.30;58.00
2022/9/1;9:46:5;26.30;58.00
2022/9/1;9:46:16;26.30;58.00
2022/9/1;9:46:26;26.40;58.00
2022/9/1;9:46:37;26.40;58.00
2022/9/1;9:46:48;26.40;58.00
2022/9/1;9:46:58;26.30;58.00
2022/9/1;9:47:9;26.40;58.00
2022/9/1;9:47:20;26.40;58.00
2022/9/1;9:47:30;26.40;58.00
2022/9/1;9:47:41;26.40;58.00
2022/9/1;9:47:52;26.40;58.00
2022/9/1;9:48:2;26.40;58.00
2022/9/1;9:48:13;26.40;58.00
2022/9/1;9:48:24;26.40;58.00
2022/9/1;9:48:34;26.40;58.00
2022/9/1;9:48:45;26.40;58.00
2022/9/1;9:48:56;26.40;58.00
2022/9/1;9:49:6;26.40;57.00
2022/9/1;9:49:17;26.40;57.00
2022/9/1;9:49:28;26.40;57.00
2022/9/1;9:49:38;26.40;57.00
2022/9/1;9:49:49;26.40;57.00
2022/9/1;9:50:0;26.30;57.00
2022/9/1;9:50:10;26.30;57.00
2022/9/1;9:50:21;26.40;57.00
2022/9/1;9:50:32;26.40;57.00
2022/9/1;9:50:42;26.40;57.00
2022/9/1;9:50:53;26.40;57.00
2022/9/1;9:51:4;26.40;57.00
2022/9/1;9:51:14;26.40;57.00
