
Data;Hora;Temperatura;Umidade
2022/9/2;11:15:20;27.10;61.00
2022/9/2;11:15:31;27.10;61.00
2022/9/2;11:15:41;27.10;61.00
2022/9/2;11:15:52;27.20;61.00
2022/9/2;11:16:3;27.10;61.00
2022/9/2;11:16:13;27.10;61.00
2022/9/2;11:16:24;27.10;61.00
2022/9/2;11:16:35;27.10;61.00
2022/9/2;11:16:45;27.10;61.00
2022/9/2;11:16:56;27.10;61.00
2022/9/2;11:17:7;27.10;61.00
2022/9/2;11:17:17;27.10;61.00
2022/9/2;11:17:28;27.10;61.00
2022/9/2;11:17:39;27.10;61.00
2022/9/2;11:17:49;27.10;61.00
2022/9/2;11:18:0;27.10;61.00
2022/9/2;11:18:11;27.10;61.00
2022/9/2;11:18:21;27.10;61.00
2022/9/2;11:18:32;27.20;61.00
2022/9/2;11:18:43;27.20;61.00
2022/9/2;11:18:54;27.10;61.00
2022/9/2;11:19:4;27.10;61.00
2022/9/2;11:19:15;27.10;61.00
2022/9/2;11:19:26;27.10;61.00
2022/9/2;11:19:36;27.10;61.00
2022/9/2;11:19:47;27.10;61.00
2022/9/2;11:19:58;27.10;61.00
2022/9/2;11:20:8;27.00;61.00
2022/9/2;11:20:19;27.00;61.00
2022/9/2;11:20:29;27.00;61.00
2022/9/2;11:20:40;27.00;61.00
2022/9/2;11:20:51;27.00;61.00
2022/9/2;11:21:1;27.00;61.00
2022/9/2;11:21:12;27.00;61.00
2022/9/2;11:21:23;27.10;61.00
2022/9/2;11:21:33;27.10;61.00
2022/9/2;11:21:44;27.10;61.00
2022/9/2;11:21:55;27.10;61.00
2022/9/2;11:22:5;27.10;61.00
2022/9/2;11:22:16;27.10;61.00
2022/9/2;11:22:27;27.10;61.00
2022/9/2;11:22:37;27.10;61.00
2022/9/2;11:22:48;27.10;61.00
2022/9/2;11:22:59;27.10;61.00
2022/9/2;11:23:9;27.10;61.00
2022/9/2;11:23:20;27.10;61.00
2022/9/2;11:23:31;27.10;61.00
2022/9/2;11:23:41;27.00;61.00
2022/9/2;11:23:52;27.10;61.00
2022/9/2;11:24:3;27.10;61.00
2022/9/2;11:24:13;27.10;61.00
2022/9/2;11:24:24;27.10;61.00
2022/9/2;11:24:35;27.00;61.00
2022/9/2;11:24:45;27.10;61.00
2022/9/2;11:24:56;27.10;61.00
2022/9/2;11:25:7;27.00;61.00
2022/9/2;11:25:17;27.10;61.00
2022/9/2;11:25:28;27.00;61.00
2022/9/2;11:25:39;27.00;61.00
2022/9/2;11:25:49;27.00;61.00
2022/9/2;11:26:0;27.00;61.00
2022/9/2;11:26:11;27.10;61.00
2022/9/2;11:26:21;27.10;61.00
2022/9/2;11:26:32;27.00;61.00
2022/9/2;11:26:43;27.00;61.00
2022/9/2;11:26:53;27.00;61.00
2022/9/2;11:27:4;27.10;61.00
2022/9/2;11:27:15;27.00;61.00
2022/9/2;11:27:25;27.00;61.00
2022/9/2;11:27:36;27.00;61.00
2022/9/2;11:27:47;27.10;61.00
2022/9/2;11:27:57;27.10;61.00
2022/9/2;11:28:8;27.00;61.00
2022/9/2;11:28:19;27.00;61.00
2022/9/2;11:28:29;27.10;61.00
2022/9/2;11:28:40;27.00;61.00
2022/9/2;11:28:51;27.00;61.00
2022/9/2;11:29:1;27.10;61.00
2022/9/2;11:29:12;27.00;61.00
2022/9/2;11:29:23;27.10;61.00
2022/9/2;11:29:33;27.00;61.00
2022/9/2;11:29:44;27.10;61.00
2022/9/2;11:29:55;27.00;61.00
2022/9/2;11:30:5;27.00;61.00
2022/9/2;11:30:16;27.00;61.00
2022/9/2;11:30:27;27.10;61.00
2022/9/2;11:30:37;27.10;61.00
2022/9/2;11:30:48;27.10;61.00
2022/9/2;11:30:59;27.10;61.00
2022/9/2;11:31:9;27.00;61.00
2022/9/2;11:31:20;27.00;61.00
2022/9/2;11:31:31;27.00;61.00
2022/9/2;11:31:41;27.00;61.00
2022/9/2;11:31:52;27.00;61.00
2022/9/2;11:32:3;27.00;61.00
2022/9/2;11:32:13;27.10;61.00
2022/9/2;11:32:24;27.10;61.00
2022/9/2;11:32:35;27.10;61.00
2022/9/2;11:32:45;27.00;61.00
2022/9/2;11:32:56;27.10;61.00
2022/9/2;11:33:7;27.10;61.00
2022/9/2;11:33:17;27.10;61.00
2022/9/2;11:33:28;27.00;61.00
2022/9/2;11:33:39;27.00;61.00
2022/9/2;11:33:49;27.10;61.00
2022/9/2;11:34:0;27.00;61.00
2022/9/2;11:34:11;27.10;61.00
2022/9/2;11:34:21;27.10;61.00
2022/9/2;11:34:32;27.10;61.00
2022/9/2;11:34:43;27.10;61.00
2022/9/2;11:34:53;27.10;61.00
2022/9/2;11:35:4;27.10;61.00
2022/9/2;11:35:15;27.10;61.00
2022/9/2;11:35:25;27.00;61.00
2022/9/2;11:35:36;27.00;61.00
2022/9/2;11:35:47;27.00;61.00
2022/9/2;11:35:57;27.00;61.00
2022/9/2;11:36:8;27.10;61.00
2022/9/2;11:36:19;27.00;61.00
2022/9/2;11:36:29;27.10;61.00
2022/9/2;11:36:40;27.10;61.00
2022/9/2;11:36:51;27.10;61.00
2022/9/2;11:37:1;27.10;61.00
2022/9/2;11:37:12;27.10;61.00
2022/9/2;11:37:23;27.10;61.00
2022/9/2;11:37:33;27.10;61.00
2022/9/2;11:37:44;27.10;61.00
2022/9/2;11:37:55;27.10;61.00
2022/9/2;11:38:5;27.10;61.00
2022/9/2;11:38:16;27.20;61.00
2022/9/2;11:38:27;27.10;61.00
2022/9/2;11:38:37;27.10;61.00
2022/9/2;11:38:48;27.20;61.00
2022/9/2;11:38:59;27.10;61.00
2022/9/2;11:39:9;27.10;61.00
2022/9/2;11:39:20;27.10;61.00
2022/9/2;11:39:31;27.10;61.00
2022/9/2;11:39:41;27.10;61.00
2022/9/2;11:39:52;27.00;61.00
2022/9/2;11:40:3;27.00;61.00
2022/9/2;11:40:13;27.00;61.00
2022/9/2;11:40:24;27.00;61.00
2022/9/2;11:40:35;27.10;61.00
2022/9/2;11:40:45;27.10;61.00
2022/9/2;11:40:56;27.00;61.00
2022/9/2;11:41:7;27.10;61.00
2022/9/2;11:41:17;27.10;61.00
2022/9/2;11:41:28;27.00;61.00
2022/9/2;11:41:39;27.00;61.00
2022/9/2;11:41:49;27.00;61.00
2022/9/2;11:42:0;27.00;61.00
2022/9/2;11:42:11;27.00;61.00
2022/9/2;11:42:21;27.00;61.00
2022/9/2;11:42:32;27.00;61.00
2022/9/2;11:42:43;27.00;61.00
2022/9/2;11:42:53;27.00;61.00
2022/9/2;11:43:4;27.00;61.00
2022/9/2;11:43:15;27.00;61.00
2022/9/2;11:43:25;27.00;61.00
2022/9/2;11:43:36;27.10;61.00
2022/9/2;11:43:47;27.10;61.00
2022/9/2;11:43:57;27.00;61.00
2022/9/2;11:44:8;27.10;61.00
2022/9/2;11:44:19;27.10;61.00
2022/9/2;11:44:29;27.00;61.00
2022/9/2;11:44:40;27.10;61.00
2022/9/2;11:44:51;27.10;61.00
2022/9/2;11:45:1;27.10;61.00
2022/9/2;11:45:12;27.10;61.00
2022/9/2;11:45:23;27.00;61.00
2022/9/2;11:45:33;27.10;61.00
2022/9/2;11:45:44;27.00;61.00
2022/9/2;11:45:55;27.10;61.00
2022/9/2;11:46:5;27.10;61.00
2022/9/2;11:46:16;27.00;61.00
2022/9/2;11:46:27;27.00;61.00
2022/9/2;11:46:37;27.00;61.00
2022/9/2;11:46:48;27.10;61.00
2022/9/2;11:46:59;27.10;61.00
2022/9/2;11:47:9;27.10;61.00
2022/9/2;11:47:20;27.10;61.00
2022/9/2;11:47:31;27.10;61.00
2022/9/2;11:47:41;27.10;61.00
2022/9/2;11:47:52;27.10;61.00
2022/9/2;11:48:3;27.10;61.00
2022/9/2;11:48:13;27.10;61.00
2022/9/2;11:48:24;27.10;61.00
2022/9/2;11:48:35;27.10;61.00
2022/9/2;11:48:45;27.10;61.00
2022/9/2;11:48:56;27.10;61.00
2022/9/2;11:49:7;27.10;61.00
2022/9/2;11:49:17;27.10;61.00
2022/9/2;11:49:28;27.10;61.00
2022/9/2;11:49:39;27.10;61.00
2022/9/2;11:49:49;27.10;61.00
2022/9/2;11:50:0;27.10;61.00
2022/9/2;11:50:11;27.10;61.00
2022/9/2;11:50:21;27.10;61.00
2022/9/2;11:50:32;27.10;61.00
2022/9/2;11:50:43;27.10;61.00
2022/9/2;11:50:53;27.10;61.00
2022/9/2;11:51:4;27.10;61.00
2022/9/2;11:51:15;27.10;61.00
2022/9/2;11:51:25;27.10;61.00
2022/9/2;11:51:36;27.20;61.00
2022/9/2;11:51:47;27.10;61.00
2022/9/2;11:51:57;27.20;61.00
2022/9/2;11:52:8;27.10;61.00
2022/9/2;11:52:19;27.10;61.00
2022/9/2;11:52:29;27.10;61.00
2022/9/2;11:52:40;27.10;61.00
2022/9/2;11:52:51;27.10;61.00
2022/9/2;11:53:1;27.10;61.00
2022/9/2;11:53:12;27.10;61.00
2022/9/2;11:53:23;27.10;61.00
2022/9/2;11:53:33;27.10;61.00
2022/9/2;11:53:44;27.10;61.00
2022/9/2;11:53:55;27.10;61.00
2022/9/2;11:54:5;27.00;61.00
2022/9/2;11:54:16;27.10;61.00
2022/9/2;11:54:27;27.10;61.00
2022/9/2;11:54:37;27.10;61.00
2022/9/2;11:54:48;27.00;61.00
2022/9/2;11:54:59;27.00;61.00
2022/9/2;11:55:9;27.00;61.00
2022/9/2;11:55:20;27.00;61.00
2022/9/2;11:55:31;27.10;61.00
2022/9/2;11:55:41;27.10;61.00
2022/9/2;11:55:52;27.10;61.00
2022/9/2;11:56:3;27.10;61.00
2022/9/2;11:56:13;27.00;61.00
2022/9/2;11:56:24;27.10;61.00
2022/9/2;11:56:35;27.10;61.00
2022/9/2;11:56:45;27.10;61.00
2022/9/2;11:56:56;27.10;61.00
2022/9/2;11:57:7;27.10;61.00
2022/9/2;11:57:17;27.10;61.00
2022/9/2;11:57:28;27.10;61.00
2022/9/2;11:57:39;27.10;61.00
2022/9/2;11:57:49;27.10;61.00
2022/9/2;11:58:0;27.10;61.00
2022/9/2;11:58:11;27.10;61.00
2022/9/2;11:58:21;27.10;61.00
2022/9/2;11:58:32;27.10;61.00
2022/9/2;11:58:43;27.10;61.00
2022/9/2;11:58:53;27.10;61.00
2022/9/2;11:59:4;27.10;61.00
2022/9/2;11:59:15;27.20;61.00
2022/9/2;11:59:25;27.10;61.00
2022/9/2;11:59:36;27.10;61.00
2022/9/2;11:59:47;27.10;61.00
2022/9/2;11:59:57;27.10;61.00
2022/9/2;12:0:8;27.10;61.00
2022/9/2;12:0:19;27.10;61.00
2022/9/2;12:0:29;27.10;61.00
2022/9/2;12:0:40;27.10;61.00
2022/9/2;12:0:51;27.10;61.00
2022/9/2;12:1:1;27.10;61.00
2022/9/2;12:1:12;27.10;61.00
2022/9/2;12:1:23;27.10;61.00
2022/9/2;12:1:33;27.10;61.00
2022/9/2;12:1:44;27.10;61.00
2022/9/2;12:1:55;27.10;61.00
2022/9/2;12:2:5;27.20;61.00
2022/9/2;12:2:16;27.10;61.00
2022/9/2;12:2:27;27.10;61.00
2022/9/2;12:2:37;27.10;61.00
2022/9/2;12:2:48;27.20;61.00
2022/9/2;12:2:59;27.10;61.00
2022/9/2;12:3:9;27.10;61.00
2022/9/2;12:3:20;27.10;61.00
2022/9/2;12:3:31;27.20;61.00
2022/9/2;12:3:41;27.20;61.00
2022/9/2;12:3:52;27.20;61.00
2022/9/2;12:4:3;27.20;61.00
2022/9/2;12:4:13;27.10;61.00
2022/9/2;12:4:24;27.20;61.00
2022/9/2;12:4:35;27.20;61.00
2022/9/2;12:4:45;27.20;61.00
2022/9/2;12:4:56;27.20;61.00
2022/9/2;12:5:7;27.20;61.00
2022/9/2;12:5:17;27.20;61.00
2022/9/2;12:5:28;27.20;61.00
2022/9/2;12:5:39;27.20;61.00
2022/9/2;12:5:49;27.20;61.00
2022/9/2;12:6:0;27.10;61.00
2022/9/2;12:6:11;27.10;61.00
2022/9/2;12:6:21;27.10;61.00
2022/9/2;12:6:32;27.10;61.00
2022/9/2;12:6:43;27.20;61.00
2022/9/2;12:6:53;27.20;61.00
2022/9/2;12:7:4;27.10;61.00
2022/9/2;12:7:15;27.20;61.00
2022/9/2;12:7:25;27.20;61.00
2022/9/2;12:7:36;27.20;61.00
2022/9/2;12:7:47;27.10;61.00
2022/9/2;12:7:57;27.20;61.00
